obs,lat,lon,altitude,time,air_temp,dew_point,rel_hum,mixing_ratio,air_press,air_rho,gpt,gpt_height,wind_speed,wind_dir,sensible_heat,latent_heat
18,46.812244,6.9439993,537.885,2023-03-27 02:58:10.843103448,4.912179500000036,2.834123450051493,86.59452657283417,0.0049560834587607,95093.26666666666,1.1877917696634237,5274.403635575051,537.8394900985609,2.6099989679446285,213.278663639164,-4.96165321443601,-2.3994008109777507
19,46.812244,6.943999,540.4738333333333,2023-03-27 02:58:11.223275862,4.902460908333353,2.8194346690389693,86.56360070684775,0.0049525700490376,95061.94666666668,1.18744457061962,5299.7871117596505,540.4278843192783,2.6216225265434066,215.11020998623812,-4.480006574336593,-3.9141994589232496
20,46.812244,6.943999,542.922,2023-03-27 02:58:11.603448275,4.890348750000044,2.8130309826312327,86.59702488217884,0.0049518986849721,95030.685,1.1871062496607745,5323.7913341413005,542.875633793528,2.6297922024421454,217.08288017333177,-5.902502940425844,-0.7907030445214178
21,46.812244,6.9439983,545.38675,2023-03-27 02:58:11.983620689,4.873248799999999,2.8006561122487597,86.62404831342482,0.0049486803398754,95007.8375,1.1868961178128017,5347.958137079436,545.3399618707139,2.6462249211307145,218.1384528006129,-8.275623731064643,-3.764270582598004
22,46.812244,6.9439983,548.0061666666668,2023-03-27 02:58:12.363793103,4.875471600000026,2.7885503108986427,86.53767906872882,0.0049457216395162,94984.94333333331,1.18660275441357,5373.641421700851,547.9589280438123,2.74495924488014,218.9028360716355,1.0119690155657366,-3.255463335115288
23,46.812244,6.9439983,550.4808333333333,2023-03-27 02:58:12.743965517,4.861254325000004,2.767034795021914,86.49228179233904,0.0049395986883723,94957.89375,1.1863298686314334,5397.905418423324,550.4331671287671,2.8104651431538947,218.94422299684152,-6.849694183579356,-7.129589638175951
24,46.812244,6.943999,553.225625,2023-03-27 02:58:13.124137931,4.845726000000013,2.7554732009922986,86.51483143268234,0.0049375076862425,94919.3,1.185915426174172,5424.817956674085,553.1774822874361,2.8855278531843216,218.37454335386604,-6.742718139851396,-2.1944078075998683
25,46.812244,6.943999,555.5925,2023-03-27 02:58:13.504310344,4.832986249999976,2.7479370042620985,86.54512354356915,0.0049359803727008,94896.86875,1.1856905830603297,5448.025023180568,555.5439444846678,2.935786155014231,217.56291750580323,-6.413912274019802,-1.8584220387380508
26,46.812244,6.943999,557.9375,2023-03-27 02:58:13.884482758,4.820417500000019,2.7359283358604216,86.54734017132897,0.0049331217250887,94870.48125,1.1854165121519855,5471.017589590987,557.8885337593355,2.920654695719097,217.6914412425213,-6.385373051618509,-3.510029286814007
27,46.812244,6.9439983,560.303125,2023-03-27 02:58:14.264655172,4.8154176625000105,2.7171181561890876,86.46347336966296,0.0049280040686108,94843.7625,1.1851076355345898,5494.212365544782,560.253742668983,2.9574800973247863,218.3197299375741,-2.5172934533881373,-6.227424409551987
28,46.812244,6.9439983,563.2416666666667,2023-03-27 02:58:14.644827586,4.792608383333345,2.7005127670142315,86.4989380291444,0.0049239409543049,94808.63333333332,1.1847687727003424,5523.024522468078,563.191765023538,3.0012514434495583,218.9738384254765,-9.2422852467843,-3.979148917206909
29,46.812244,6.9439983,565.2616666666667,2023-03-27 02:58:15.025000000,4.773914750000017,2.6932368156149664,86.5662049777278,0.0049227428701507,94780.75833333332,1.184500931391944,5542.830439209175,565.2114064649166,3.0299555797674627,220.3492843969375,-11.01650456678466,-1.70648722606315
30,46.812244,6.943998,568.2995833333333,2023-03-27 02:58:15.405172413,4.7618875,2.6835458173537177,86.5792009381569,0.0049211982879083,94744.72916666666,1.1841030014680225,5572.61691282103,568.2487814718615,3.0840671204749457,221.09227706681972,-4.711357126932601,-1.4623708739515688
31,46.812244,6.943998,570.418125,2023-03-27 02:58:15.785344827,4.748584875000006,2.677190915039148,86.62004408178777,0.0049199034780725,94725.625,1.1839218155518665,5593.388988289197,570.3669436850706,3.166552123278241,221.95815239900787,-7.471183847999522,-1.7576244918652997
32,46.812244,6.943998,572.879375,2023-03-27 02:58:16.165517241,4.7304821000000175,2.666308723250495,86.66212298261101,0.0049175513959683,94696.25,1.1836334321397568,5617.521265090768,572.8277510761338,3.2904525081837472,223.15885164358497,-8.749287944347671,-2.747575535102259
33,46.812244,6.943998,575.6116666666667,2023-03-27 02:58:16.545689655,4.720253816666684,2.656316864358814,86.66263986444824,0.0049155046902098,94668.16666666666,1.1833274183568183,5644.311052774581,575.559549160476,3.369420851850112,224.5613843092812,-4.451913132118634,-2.153132970163981
34,46.812244,6.9439983,578.3366666666666,2023-03-27 02:58:16.925862068,4.697313800000018,2.636270482538123,86.67810173715765,0.0049096596266657,94644.69999999998,1.1831359042158505,5671.02932361742,578.2840545565938,3.433483616222876,224.6879541770286,-10.009858036128865,-6.164506922938296
35,46.812244,6.9439983,580.8299999999999,2023-03-27 02:58:17.306034482,4.687652000000014,2.6229192372249486,86.6549302767105,0.0049061783739332,94622.16666666669,1.1828978260702396,5695.47611283557,580.776933288694,3.507802860565486,225.1814612599171,-4.6067112942537545,-4.011875571302085
36,46.812244,6.9439983,583.545,2023-03-27 02:58:17.686206896,4.666989200000046,2.596071446819053,86.61570781850278,0.0048985759249732,94588.30833333332,1.1825678962607802,5722.096291318346,583.4914360478192,3.584688050955072,225.75155912759556,-9.045060680107364,-8.043768537270946
37,46.812244,6.9439983,585.2958333333333,2023-03-27 02:58:18.066379310,4.66054790000004,2.5824516087139955,86.57173409604871,0.0048950734000135,94565.075,1.1823073323217932,5739.262944388943,585.2419474936847,3.67151437039388,226.1298888498432,-4.371446473554761,-5.745415157544442
38,46.812244,6.9439983,588.2316666666667,2023-03-27 02:58:18.446551724,4.654223300000012,2.558812337708048,86.46644152946932,0.0048887846134918,94529.65,1.1818958222533325,5768.048320011506,588.1772389155834,3.762647401687364,226.2808610910053,-2.558862359015845,-6.149976904542382
39,46.812244,6.9439983,590.0766666666667,2023-03-27 02:58:18.826724137,4.645790316666648,2.5390201438884787,86.39702920143637,0.0048829872449739,94509.8,1.1816876368620652,5786.138235907548,590.0218969686435,3.777966327051751,226.92638349037543,-5.428172307640974,-9.01989089913193
40,46.812244,6.9439983,593.4758333333334,2023-03-27 02:58:19.206896551,4.621397999999999,2.495435270471887,86.27888285686006,0.0048702971431968,94464.1,1.1812289725791312,5819.46646809898,593.4204308401931,3.7760389651649247,227.27275432352667,-8.51884551432205,-10.712696026597438
41,46.812244,6.9439983,595.3525,2023-03-27 02:58:19.587068965,4.615327200000024,2.478771198623008,86.21451386620943,0.0048659546072406,94437.5,1.1809252509533517,5837.86683990787,595.2967465860279,3.767650188504584,227.78748682571543,-3.839257629781348,-6.638318699027521
42,46.812244,6.9439983,598.1241666666666,2023-03-27 02:58:19.967241379,4.600364400000046,2.45157059683811,86.13950166150933,0.0048581480469813,94407.25,1.180616116836044,5865.042502380716,598.0678929482256,3.759675271931561,228.4924997614261,-6.405405693502803,-8.078153151659402
43,46.812244,6.943998,600.6441666666667,2023-03-27 02:58:20.347413793,4.578706716666659,2.4207796140240134,86.08243248177617,0.0048488376431979,94381.64166666666,1.1803945140095142,5889.750600671328,600.5874177901045,3.772263465986266,228.9396350406891,-10.195410176898823,-10.59466461633098
44,46.812244,6.943998,603.145,2023-03-27 02:58:20.727586206,4.568049999999971,2.3939537926211756,85.98391680187409,0.0048410727853183,94354.2,1.1801021206849691,5914.270754245986,603.0877776045833,3.7888028437842673,230.50537235483247,-5.053872978698824,-8.901594114393523
45,46.812244,6.943998,605.4875,2023-03-27 02:58:21.107758619,4.562409249999973,2.347280591296226,85.73655974185766,0.0048266247324655,94327.2,1.1797986880648288,5937.238464738258,605.4298322809785,3.8425688414157166,231.20204776614176,-2.855165078740538,-17.678551040770078
46,46.812244,6.943998,607.9350000000001,2023-03-27 02:58:21.487931034,4.548101900000006,2.308150193724657,85.5862561363615,0.0048146814268573,94300.30416666668,1.1795315435588969,5961.235659647744,607.876865152498,3.8917138995764353,231.6805526331659,-6.929663118645348,-13.98401388649105
47,46.812244,6.943998,610.5225,2023-03-27 02:58:21.868103448,4.5313461000000075,2.276345325437262,85.49448636339329,0.0048054500119151,94268.74166666668,1.1792144532250828,5986.605503427623,610.463869254804,3.9541051954704742,232.7577125762704,-7.674386451411068,-10.221398063071248
48,46.812244,6.943998,613.0925,2023-03-27 02:58:22.248275862,4.514706799999999,2.2290501876389612,85.30914899933698,0.0047908498507311,94240.70833333331,1.1789448079491835,6011.8037432806095,613.0333746264637,4.025715076904773,233.5597021406033,-7.671167480398613,-16.27263547683691
49,46.812244,6.9439974,615.5687499999999,2023-03-27 02:58:22.628448275,4.515390400000001,2.2054737768403356,85.1642151296482,0.004784102419733,94218.1,1.1786638910799871,6036.082767369114,615.5091460762966,4.105780524525656,234.5953329341345,0.3270119370509495,-7.803385530078012
50,46.812244,6.9439974,618.0487499999999,2023-03-27 02:58:23.008620689,4.497436250000021,2.185902233079048,85.15273055811613,0.0047787881608088,94190.88333333336,1.178403366205087,6060.398540331423,617.9886648683723,4.175215859138688,235.7150768184446,-8.573797157797658,-6.135349949107207
51,46.812244,6.9439974,620.6083333333333,2023-03-27 02:58:23.388793103,4.488032150000038,2.1683868403528663,85.10344122830753,0.0047745036393735,94158.46666666666,1.1780407466283422,6085.494587861412,620.5477495231718,4.24245768603308,237.84428573502584,-4.349850581264271,-4.791283209558193
52,46.812244,6.9439974,623.1837499999999,2023-03-27 02:58:23.768965517,4.49145180000005,2.128628322811892,84.84650760351086,0.0047629366281342,94125.16666666669,1.1776178591202864,6110.745856702397,623.1226623467135,4.296313713791578,238.54988496346743,1.5714645978972448,-12.851190885106446
53,46.812244,6.9439974,625.58375,2023-03-27 02:58:24.149137931,4.482302950000019,2.098145407423715,84.71860215714587,0.0047540875530109,94097.7,1.1773192997620543,6134.277193815199,625.5221909434108,4.326688700566929,239.53868897872368,-4.510405526669461,-10.547634297220217
54,46.812244,6.9439974,628.1158333333333,2023-03-27 02:58:24.529310344,4.473325100000011,2.044738751884438,84.45418318140874,0.0047376040187745,94070.675,1.1770309330017252,6159.103552269148,628.0537749658802,4.350553404162069,240.73040742711575,-4.194191817406453,-18.618527307548018
55,46.812244,6.9439974,630.2166666666667,2023-03-27 02:58:24.909482758,4.468653166666684,2.00187989120019,84.22744898446685,0.0047250831118447,94036.16666666669,1.1766278640372445,6179.70161185523,630.1541924974615,4.394908657637368,242.375669819474,-2.6297243507904184,-17.04044623493475
56,46.812244,6.943998,633.2620833333333,2023-03-27 02:58:25.289655172,4.449505600000009,1.9347739444833678,83.94229227630365,0.0047045871606701,93999.05416666664,1.1762591523945378,6209.561012022819,633.1990039435301,4.421239644101803,243.41010962038987,-7.432517621707128,-19.236953348883976
57,46.812244,6.943998,635.2125000000001,2023-03-27 02:58:25.669827586,4.449904200000049,1.8860779635056701,83.6534770035204,0.0046893470023142,93982.68333333332,1.1760634300117052,6228.684249448957,635.149031468336,4.447811860482637,244.31666166886288,0.2415498112125805,-22.331618071077912
58,46.812244,6.943998,637.6612500000001,2023-03-27 02:58:26.050000000,4.447424300000023,1.816543457194939,83.26033558878152,0.0046679270818155,93953.51249999998,1.175724095123994,6252.69347580747,637.5972912062193,4.518167863907225,245.4856868668988,-1.1966336189551754,-24.99320992709404
59,46.812244,6.943998,640.3141666666667,2023-03-27 02:58:26.430172413,4.432974400000035,1.7288599470988402,82.83175920541967,0.0046407211384974,93921.3125,1.1754015949370151,6278.704471477493,640.2496746062614,4.5616709183893525,246.40537123784577,-6.434185400049346,-29.29481023395062
60,46.812244,6.943998,642.8783333333333,2023-03-27 02:58:26.810344827,4.424765999999977,1.6541379265312344,82.4457919128229,0.0046175639165811,93896.225,1.1751387372808175,6303.845281277029,642.8133237422595,4.618810289563316,247.1713473962443,-3.7806586370431017,-25.793801534958323
61,46.812244,6.943998,645.2025,2023-03-27 02:58:27.190517241,4.416728599999999,1.5723134362646078,82.0179537158439,0.0045921261902491,93872.9,1.1748988662227806,6326.632952585469,645.1370195311823,4.683119545092421,247.8118725344268,-4.083333585420565,-31.254929149650863
62,46.812244,6.943998,648.1937499999999,2023-03-27 02:58:27.570689655,4.412797500000011,1.4785667909339963,81.50054176681738,0.0045636790111689,93835.94166666668,1.174473099022054,6355.961126759705,648.1276610014332,4.784482662528049,248.61962574985472,-1.551209713519282,-27.149377452919094
63,46.812244,6.943998,650.2858333333334,2023-03-27 02:58:27.950862068,4.40898036666664,1.4227284789638475,81.20160341539406,0.0045472455260233,93804.775,1.1741108167521292,6376.473265606849,650.2193170559619,4.840544327623206,249.4008856076393,-2.152947806411434,-22.41865198667243
64,46.812244,6.943998,653.3599999999999,2023-03-27 02:58:28.331034482,4.4052772000000004,1.3477519420036401,80.79318029452165,0.0045249825910965,93768.89166666666,1.1736931570547102,6406.614360494616,653.2928533693582,4.89979410416243,250.01243628425544,-1.4209097152553256,-20.662174221602392
65,46.812244,6.9439974,655.7108333333333,2023-03-27 02:58:28.711206896,4.409380750000025,1.3012935187276753,80.50547100877218,0.004511612327698,93739.93333333332,1.173322852285083,6429.66341338731,655.6432026622048,4.929145323455864,250.50341642852305,2.058360695688518,-16.22248931283663
66,46.812244,6.9439974,658.0666666666666,2023-03-27 02:58:29.091379310,4.41348430000005,1.2629068371668382,80.26468304737763,0.004500510015624,93717.8,1.1730363598093922,6452.761472333504,657.9985491817802,4.947587044232746,251.34087804033092,2.053490521853396,-13.439179886618437
67,46.812244,6.9439974,660.61625,2023-03-27 02:58:29.471551724,4.406216350000022,1.2232981574420592,80.0803570894863,0.0044891834242439,93690.975,1.1727393369270591,6477.759157801409,660.5476036976347,4.958256754428267,251.69004071307768,-3.3597756175075277,-12.66582947230875
68,46.812244,6.9439974,663.2454166666666,2023-03-27 02:58:29.851724137,4.399119400000018,1.2135074424444383,80.06498016166279,0.004487693595892,93656.475,1.1723384946900273,6503.537106291607,663.1762228989112,4.955249848607826,252.0961246149296,-3.180333877004229,-1.6150233515524994
69,46.812244,6.9439974,665.7208333333333,2023-03-27 02:58:30.231896551,4.395926950000046,1.2068268349503342,80.04524304200831,0.0044868813177778,93628.98333333334,1.1720084122368624,6527.807576816782,665.6511221280235,4.951978754348689,251.9935512137393,-1.5190518014838064,-0.9349660230367712
70,46.812244,6.943997,668.2650000000001,2023-03-27 02:58:30.612068965,4.392848500000014,1.2051374577444562,80.0531622407388,0.0044877129036943,93600.22916666669,1.1716608717147654,6552.7520939043625,668.1947549779346,4.925427435814573,251.8066403449942,-1.4248020599741251,0.9310481560836265
71,46.812244,6.943997,670.875,2023-03-27 02:58:30.992241379,4.389884050000035,1.2084766492619679,80.08869250618937,0.0044903483032558,93567.175,1.1712577494844167,6578.342059243043,670.8042052324743,4.951145793987645,251.67355794184977,-1.3369715366420931,2.8751836536335587
